Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Avg_Trans_Amt_Per_Transaction,Credit_Utilization_Rate_Calc,Avg_Trans_Amt_Per_Transaction,Credit_Utilization_Rate_Calc,Gender_F,Gender_M,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,target
45.000000,3.000000,39.000000,5.000000,1.000000,3.000000,12691.000000,777.000000,11914.000000,1.335000,1144.000000,42.000000,1.455000,0.061000,31.000000,0.061224,31.000000,0.061224,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
49.000000,5.000000,44.000000,6.000000,1.000000,2.000000,8256.000000,864.000000,7392.000000,1.514740,1291.000000,33.000000,1.455000,0.105000,39.121212,0.104651,39.121212,0.104651,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
51.000000,3.000000,36.000000,4.000000,1.000000,0.000000,3418.000000,0.000000,3418.000000,1.514740,1887.000000,20.000000,1.455000,0.000000,94.350000,0.000000,94.350000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
40.000000,4.000000,34.000000,3.000000,4.000000,1.000000,3313.000000,2517.000000,796.000000,1.405000,1171.000000,20.000000,1.455000,0.760000,58.550000,0.759734,58.550000,0.759734,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
40.000000,3.000000,21.000000,5.000000,1.000000,0.000000,4716.000000,0.000000,4716.000000,1.514740,869.260000,28.000000,1.455000,0.000000,31.000000,0.000000,31.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
44.000000,2.000000,36.000000,3.000000,1.000000,2.000000,4010.000000,1247.000000,2763.000000,1.376000,1088.000000,24.000000,0.846000,0.311000,45.333333,0.310973,45.333333,0.310973,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
51.000000,4.000000,46.000000,6.000000,1.000000,3.000000,34516.000000,2264.000000,32252.000000,1.514740,1330.000000,31.000000,0.722000,0.066000,42.903226,0.065593,42.903226,0.065593,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
32.000000,0.000000,27.000000,2.000000,2.000000,2.000000,29081.000000,1396.000000,27685.000000,1.514740,1538.000000,36.000000,0.714000,0.048000,42.722222,0.048004,42.722222,0.048004,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
37.000000,3.000000,36.000000,5.000000,2.000000,0.000000,22352.000000,2517.000000,19835.000000,1.514740,1350.000000,24.000000,1.182000,0.113000,56.250000,0.112607,56.250000,0.112607,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
48.000000,2.000000,36.000000,6.000000,3.000000,3.000000,11656.000000,1677.000000,9979.000000,1.514740,1441.000000,32.000000,0.882000,0.144000,45.031250,0.143874,45.031250,0.143874,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
42.000000,5.000000,31.000000,5.000000,3.000000,2.000000,6748.000000,1467.000000,5281.000000,0.831000,1201.000000,42.000000,0.680000,0.217000,31.000000,0.217398,31.000000,0.217398,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
65.000000,1.000000,54.000000,6.000000,2.000000,3.000000,9095.000000,1587.000000,7508.000000,1.433000,1314.000000,26.000000,1.364000,0.174000,50.538462,0.174491,50.538462,0.174491,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
56.000000,1.000000,36.000000,3.000000,6.000000,0.000000,11751.000000,0.000000,11751.000000,1.514740,1539.000000,20.000000,1.455000,0.000000,90.529412,0.000000,90.529412,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
35.000000,3.000000,30.000000,5.000000,1.000000,3.000000,8547.000000,1666.000000,6881.000000,1.163000,1311.000000,33.000000,1.455000,0.195000,39.727273,0.194922,39.727273,0.194922,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
57.000000,2.000000,48.000000,5.000000,2.000000,2.000000,2436.000000,680.000000,1756.000000,1.190000,1570.000000,29.000000,0.611000,0.279000,54.137931,0.279146,54.137931,0.279146,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
44.000000,4.000000,37.000000,5.000000,1.000000,2.000000,4234.000000,972.000000,3262.000000,1.514740,1348.000000,27.000000,1.455000,0.230000,49.925926,0.229570,49.925926,0.229570,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
48.000000,4.000000,36.000000,6.000000,2.000000,3.000000,30367.000000,2362.000000,28005.000000,1.514740,1671.000000,27.000000,0.929000,0.078000,61.888889,0.077782,61.888889,0.077782,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
41.000000,3.000000,34.000000,4.000000,4.000000,1.000000,13535.000000,1291.000000,12244.000000,0.653000,1028.000000,21.000000,1.455000,0.095000,48.952381,0.095382,48.952381,0.095382,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
61.000000,1.000000,56.000000,2.000000,2.000000,3.000000,3193.000000,2517.000000,676.000000,1.514740,1336.000000,30.000000,1.143000,0.788000,44.533333,0.788287,44.533333,0.788287,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
